Date,MaxTemp,MinTemp,avgWind,avgGust,avgHumidity,avgCloud,avgPressure,totalPrecip,totalPrecipTmrw
12-26-2008,18,4,27.5,49.5,91.75,85.25,1012.75,0,40
12-27-2008,18,0,29.75,47.5,92.25,87.125,1006.875,40,0
12-28-2008,7,-1,16,25.125,70.375,5.875,1021.75,0,0
12-29-2008,10,2,16,29.25,72.375,0.625,1023.375,0,0
12-30-2008,13,2,20.75,37.375,73,5.5,1016.125,0,0
12-31-2008,0,-5,17,24.5,51.375,2.75,1030.25,0,0
01-01-2009,6,-4,19.75,30,48.125,6.25,1018.375,0,0
01-02-2009,9,-3,9.125,17.5,81,7.75,1013.75,0,0
01-03-2009,15,4,19,34.625,96.125,81.375,1006.875,0,0
01-04-2009,1,-4,21.25,27.875,73.625,56.25,1022.25,0,0
01-05-2009,2,-4,9.625,13.625,38.625,6,1022.625,0,0
01-06-2009,3,-2,9,13.75,73,45.625,1004.875,0,0
01-07-2009,4,-2,18.375,27.75,70.25,46.5,1002.625,0,0
01-08-2009,3,-6,9.625,15.75,59.25,13,1014.75,0,0
01-09-2009,13,0,22.125,39.75,75,12.375,1012.5,0,3
01-10-2009,0,-2,21,27.625,86,99.625,1020,3,0
01-11-2009,5,-4,14.875,21.125,73.75,25,1023.5,0,0
01-12-2009,9,-2,13.625,22.75,80.375,52.875,1019.5,0,0
01-13-2009,-4,-9,17,23.125,53.25,46.375,1025.875,0,0
01-14-2009,3,-10,25.875,36.875,50,37.5,1023.375,0,0
01-15-2009,-11,-16,13.875,18.125,31.875,10.875,1042.25,0,0
01-16-2009,-9,-16,13.5,19.125,46,53.5,1039.75,0,0
01-17-2009,4,-9,22.75,35.875,73.75,36.75,1020.125,0,0
01-18-2009,1,-1,13,21.875,88.875,68.25,1014.125,0,0
01-19-2009,-1,-5,16.875,23,75.5,70.375,1014.25,0,0
01-20-2009,-2,-5,15.75,21,59.125,49,1021.75,0,0
01-21-2009,7,-6,12.375,19.625,59.125,4.625,1018.875,0,0
01-22-2009,13,-1,12.625,23.875,70.125,12.625,1014.125,0,0
01-23-2009,5,-3,18.875,29.75,71.375,47.25,1018.25,0,0
01-24-2009,-4,-10,14.625,19.625,42.25,13.125,1032.875,0,0
01-25-2009,-7,-9,10,13.75,41.5,65.125,1029.625,0,4
01-26-2009,-3,-8,9.625,13.25,71.25,82.75,1030.25,4,17
01-27-2009,-8,-9,14.25,20,93,100,1026.625,17,5
01-28-2009,-3,-9,13.5,20,90.125,55.875,1019.875,5,0
01-29-2009,1,-6,15.125,26.75,93.75,34.625,1021,0,0
01-30-2009,1,-6,7.875,15.375,93.125,31.375,1023.625,0,0
01-31-2009,11,-6,17.875,33.375,83.375,1.25,1018.25,0,0
02-01-2009,7,0,14.75,27.5,82.75,13.25,1016.125,0,0
02-02-2009,5,-4,12.875,21.5,63.375,15.875,1023.125,0,0
02-03-2009,-3,-11,20.125,27.125,46.25,11.125,1026.75,0,0
02-04-2009,-2,-10,10.375,15.25,38.375,2.375,1035.75,0,0
02-05-2009,10,-6,18.375,30.125,51.75,1.625,1027.25,0,0
02-06-2009,16,4,25,42.75,86.75,26.375,1018.875,0,0
02-07-2009,15,14,24.125,40.125,86.875,89.125,1017.375,0,0
02-08-2009,11,7,13.75,21.25,88.25,60,1024.625,0,2
02-09-2009,17,12,27.125,44.125,86.125,55,1013.625,2,0
02-10-2009,18,10,23.75,41.5,78.5,35.875,1008.625,0,57
02-11-2009,12,3,19.375,29.5,92.625,67.875,1004,57,0
02-12-2009,12,1,11.125,19.875,76.125,7.75,1021,0,0
02-13-2009,11,2,17.375,27.625,73.125,34.875,1017.625,0,0
02-14-2009,4,-2,15.5,21.125,82.125,53.375,1021.375,0,0
02-15-2009,5,-3,11.625,16.625,58.5,7.5,1027,0,0
02-16-2009,6,-5,9,15.125,53.125,12.375,1029.375,0,0
02-17-2009,7,-2,23.375,38,80.875,66,1013.75,0,0
02-18-2009,9,-1,26,38.75,81.75,66.25,1004.875,0,0
02-19-2009,1,-5,16.875,23.5,43.5,0.5,1023,0,0
02-20-2009,11,-4,11.625,20.875,51.375,17.5,1019.5,0,0
02-21-2009,0,-4,22.375,33.25,69.5,25.125,1020.125,0,0
02-22-2009,2,-6,10.875,16.375,48.125,7.125,1032,0,0
02-23-2009,7,-5,9.375,16.375,45.875,14.625,1034,0,0
02-24-2009,5,-2,17.875,30.875,65.375,45.75,1024.125,0,0
02-25-2009,18,4,13.625,23,81.375,30.125,1018,0,9
02-26-2009,18,12,22.625,37.75,92.75,89.375,1009.625,9,5
02-27-2009,6,-2,17.375,22.25,78.125,66.625,1018.125,5,11
02-28-2009,-1,-3,16.125,23.375,80,81.25,1025.25,11,0
03-01-2009,1,-6,17.75,27,56.625,2.625,1032,0,0
03-02-2009,1,-9,7.75,13.625,59.25,13.5,1032.25,0,0
03-03-2009,3,-7,14,22.375,58.625,30.125,1030.125,0,0
03-04-2009,11,-3,17.375,29.25,82.5,23.375,1021.875,0,0
03-05-2009,17,10,24.375,40.375,91.25,91.125,1011.75,0,0
03-06-2009,24,15,18.125,30.75,77.5,17.125,1012.375,0,2
03-07-2009,20,17,23.875,39.625,83.375,66.625,1011.375,2,5
03-08-2009,17,8,24,36.625,77.25,46.375,1009.125,5,1
03-09-2009,15,4,13.75,22.375,78.875,35,1017.125,1,4
03-10-2009,21,3,24.375,36.5,84.625,73,1009.875,4,0
03-11-2009,3,-3,15.25,20.875,49.25,35.625,1032.5,0,0
03-12-2009,3,-4,13,18.375,38.25,20.75,1035,0,0
03-13-2009,9,-3,9,14.5,47.375,22.5,1028,0,0
03-14-2009,12,0,8.625,14.625,63.875,32,1019.875,0,0
03-15-2009,13,4,7,11.875,86.375,56.125,1017.75,0,0
03-16-2009,19,7,8.375,14.75,77,17.125,1020.875,0,0
03-17-2009,22,9,15.875,27.75,68,1.375,1020.625,0,6
03-18-2009,21,10,13,20.75,76.875,34.625,1018.875,6,10
03-19-2009,14,5,13.5,20.625,68.625,23.25,1027.125,10,0
03-20-2009,14,3,12.375,19.75,61.125,12.125,1028,0,0
03-21-2009,15,8,12.25,18.75,78.5,66.625,1025.625,0,0
03-22-2009,21,9,15.375,25.875,75.625,34.5,1022.625,0,0
03-23-2009,21,13,25.5,40.875,70.5,35.625,1013.25,0,34
03-24-2009,18,9,26.625,41.75,82,56,1007.25,34,0
03-25-2009,13,3,10.625,16.125,70,22.25,1012.25,0,0
03-26-2009,16,4,8.625,14.75,68.625,31.75,1011.125,0,4
03-27-2009,10,6,18.375,25.75,84.25,69.25,1011.75,4,11
03-28-2009,7,3,23.25,33.25,94.125,100,999.5,11,5
03-29-2009,8,0,19,26.625,86.375,44.125,1008.625,5,0
03-30-2009,16,3,22.625,37.375,68,21.5,1010.375,0,0
03-31-2009,12,5,20.75,30.375,68,34.25,1005.5,0,0
04-01-2009,17,2,14.875,24.875,58.5,35.125,1008.625,0,3
04-02-2009,15,5,15.375,24.625,80.375,73.375,1001,3,1
04-03-2009,14,1,11.625,17.625,66.875,7.75,1009.25,1,0
04-04-2009,18,5,20.25,32.5,61.75,9.375,1010.75,0,0
04-05-2009,14,2,26.375,38.75,79.375,54,1005.625,0,1
04-06-2009,3,1,26.125,36.625,83.375,100,1017.875,1,0
04-07-2009,10,0,15.875,22.625,62.25,39.375,1017.625,0,0
04-08-2009,16,3,14,21.75,61.625,1.875,1010.125,0,14
04-09-2009,12,4,15.375,24.75,78.625,49,1007.625,14,11
04-10-2009,10,5,15.625,23.25,93.5,95.375,1008.25,11,0
04-11-2009,15,2,9.625,16.625,72,3.75,1023.5,0,2
04-12-2009,9,4,15,24.625,83,35.875,1018.75,2,13
04-13-2009,9,5,9.125,13.125,95.625,100,1007.5,13,0
04-14-2009,10,4,11,15.375,82.75,63.125,1014.5,0,0
04-15-2009,17,2,7.5,13.125,72.875,6.125,1021,0,0
04-16-2009,18,7,10.5,16.625,80,26.75,1025,0,0
04-17-2009,22,8,11.25,18.75,75.25,29.375,1023.625,0,0
04-18-2009,18,14,10.5,19.125,90.125,48.75,1016.625,0,35
04-19-2009,13,11,13.75,21.875,96.625,96.5,1009.5,35,0
04-20-2009,17,6,19.125,29.125,62.875,12,1012.375,0,0
04-21-2009,15,4,18.25,27.125,57,11.5,1013.375,0,0
04-22-2009,24,5,6.625,12,57.75,14.875,1013.625,0,0
04-23-2009,27,13,19.625,33.875,63.25,17.125,1010.5,0,0
04-24-2009,27,19,22.375,35.375,60.625,15.75,1012.125,0,5
04-25-2009,25,19,23.375,36.375,72.125,24.625,1015.375,5,0
04-26-2009,25,18,25,37.875,64.875,20,1015.625,0,27
04-27-2009,19,18,16.75,27.25,87.125,70.875,1016,27,8
04-28-2009,21,10,8.375,12.5,86.25,61.25,1023.5,8,10
04-29-2009,23,10,9.625,15.625,89.625,63.5,1020.75,10,16
04-30-2009,21,16,13.25,20.25,93.25,91.625,1012.75,16,12
05-01-2009,15,10,7.75,11.75,96,73.125,1016.5,12,5
05-02-2009,18,9,7.125,10.625,80.125,45,1016.75,5,8
05-03-2009,13,10,8.625,14.5,92.125,58.5,1013.875,8,0
05-04-2009,20,8,8.375,14,76.25,35.625,1015.625,0,0
05-05-2009,22,11,9,14.625,78,35,1014,0,0
05-06-2009,24,14,7.375,11.375,80.625,33.25,1008.875,0,0
05-07-2009,27,15,9.875,17.375,79.125,33.375,1009.25,0,134
05-08-2009,22,17,13.375,23,93,41.25,1005.25,134,0
05-09-2009,20,10,11.125,17,68.5,10.375,1016.5,0,0
05-10-2009,20,9,6.625,12,75.25,22.75,1021.375,0,0
05-11-2009,21,10,6,10.125,75,28.625,1021.5,0,0
05-12-2009,21,10,17.125,26.75,76,22.875,1017.625,0,1
05-13-2009,29,17,23.25,35,72.875,49.5,1007.75,1,20
05-14-2009,23,13,10,16.875,66.875,16.375,1017.625,20,1
05-15-2009,31,17,18,26.625,72.625,32.875,1013.75,1,3
05-16-2009,17,12,14.25,19.875,71.875,40.625,1020,3,0
05-17-2009,19,7,11.875,19.625,54.5,4.25,1027.25,0,0
05-18-2009,23,7,8.875,15.25,54.25,14,1025.625,0,0
05-19-2009,27,12,11.5,20.25,55.75,1.5,1024.25,0,0
05-20-2009,27,12,13.125,22.625,54.125,0,1021.5,0,0
05-21-2009,27,13,8.75,15.375,64.75,16.625,1019.75,0,0
05-22-2009,29,17,6.875,12.875,63.125,10.75,1018.625,0,2
05-23-2009,26,17,6.25,11,80.125,26.25,1016.75,2,3
05-24-2009,25,18,10.375,16.5,87.875,37.25,1013.125,3,7
05-25-2009,23,18,12.75,19.375,93,79.75,1008.125,7,1
05-26-2009,28,19,12,17.875,84.625,65.875,1005.625,1,11
05-27-2009,25,17,7.75,13,91.75,65.125,1006.625,11,3
05-28-2009,22,15,11.25,15.375,82.625,77.625,1010,3,0
05-29-2009,28,12,8.625,14.375,68.125,3.375,1014.5,0,0
05-30-2009,31,17,14.125,22.875,61.5,7,1011.625,0,0
05-31-2009,28,16,10.25,17.75,68.25,8.5,1013.75,0,0
06-01-2009,33,19,14.375,23.75,50.875,9,1012.25,0,9
06-02-2009,27,19,11.25,18.25,72.875,22,1013.875,9,26
06-03-2009,18,12,11.75,18,95.875,84.5,1015.875,26,0
06-04-2009,22,13,13.5,19.625,67.25,23.5,1016.5,0,0
06-05-2009,26,9,4.75,7.875,67.25,12.625,1014.875,0,0
06-06-2009,28,14,16.375,24.625,56.75,10.875,1012.25,0,2
06-07-2009,31,17,16.625,24.875,64.5,8.875,1009.625,2,0
06-08-2009,27,22,14.625,23.625,73.25,31.125,1009.625,0,0
06-09-2009,30,17,9.375,14.75,79.625,15.5,1012.25,0,6
06-10-2009,33,20,7.875,12.5,75.5,25.25,1008,6,19
06-11-2009,25,20,12.625,18.625,84.75,41.125,1007.5,19,0
06-12-2009,28,15,6.25,9.5,76,41,1012.125,0,0
06-13-2009,30,17,9.625,14.625,72.75,20.625,1013.375,0,0
06-14-2009,27,15,6.625,11,79.625,37.625,1014.625,0,51
06-15-2009,27,19,7.875,14,91.75,49.25,1012.75,51,0
06-16-2009,29,21,13.875,22.375,79,44.5,1009.625,0,0
06-17-2009,36,22,8.25,13.875,66.375,9.375,1011.125,0,0
06-18-2009,35,22,14.25,22.25,54.25,11.75,1009.625,0,0
06-19-2009,35,25,16.5,24.625,58.625,10.875,1008.375,0,9
06-20-2009,33,22,11.25,17.75,76.375,22.125,1010,9,0
06-21-2009,36,24,12,19.75,58.875,10.5,1009.125,0,0
06-22-2009,37,24,9.5,16,53.75,10.625,1008.625,0,0
06-23-2009,38,22,6.75,10.875,59.75,4.625,1010.875,0,0
06-24-2009,36,25,4.625,7.5,58.875,12.125,1013,0,0
06-25-2009,36,22,7.125,11.375,61.75,14,1011.25,0,0
06-26-2009,36,24,6.25,10,66.375,14.75,1009.75,0,0
06-27-2009,38,23,8.875,15.375,61.625,2,1009.75,0,0
06-28-2009,30,20,13.5,19.25,56.75,17.875,1012.875,0,0
06-29-2009,32,17,14.375,22.5,47.125,0.75,1008.875,0,0
06-30-2009,32,18,11,17.125,52.25,4.625,1007.25,0,0
07-01-2009,29,15,9.75,14.75,67.25,12.375,1009.75,0,0
07-02-2009,30,15,6.875,10.625,65.625,6.75,1014.875,0,0
07-03-2009,31,15,4.625,8.5,68.5,14.625,1018.375,0,24
07-04-2009,26,20,10.875,19.75,87.375,51.625,1012,24,1
07-05-2009,24,18,9.625,14.125,86.125,75.875,1012.25,1,0
07-06-2009,29,16,5.875,9.375,70.625,11.75,1013.25,0,0
07-07-2009,32,15,4,7,64.25,8.75,1011.75,0,0
07-08-2009,32,18,6.625,10.875,56.25,10.125,1011.25,0,0
07-09-2009,35,17,5.25,9,61.125,8.375,1014.5,0,20
07-10-2009,29,22,15.75,27,77,23.25,1017.125,20,8
07-11-2009,34,23,8.625,15.25,80.375,29.625,1017.125,8,11
07-12-2009,26,21,10.125,15.875,91,65,1017,11,0
07-13-2009,31,19,9,13.25,70,20,1016,0,9
07-14-2009,27,20,12.375,20.875,80.25,26.375,1015.375,9,0
07-15-2009,33,22,8.375,12.75,73.125,21.875,1014.875,0,0
07-16-2009,33,18,8.75,15.25,68.75,13,1015.125,0,0
07-17-2009,25,15,13.375,19.5,56.75,1.5,1016.625,0,0
07-18-2009,24,13,10,14.5,66.875,28.5,1019.375,0,0
07-19-2009,26,12,7.125,11.875,66.25,18,1020.25,0,0
07-20-2009,26,14,9.375,15.125,72.625,20.125,1016.75,0,18
07-21-2009,20,17,11.875,19.625,91.625,67,1012.75,18,0
07-22-2009,26,17,8.75,12.125,77.875,49,1014.125,0,0
07-23-2009,30,16,6.125,10.5,70.875,17.625,1014.75,0,0
07-24-2009,34,18,10.5,17,58.375,9.75,1012.25,0,1
07-25-2009,28,20,13.125,22.375,69,23.375,1011.75,1,0
07-26-2009,29,17,7.875,12.625,64,6.5,1013.75,0,0
07-27-2009,33,15,4.375,7.875,66.875,5.875,1013.75,0,7
07-28-2009,29,21,8,13.625,82.75,16.625,1009.875,7,1
07-29-2009,29,18,7.25,11.625,67.375,38.375,1010.75,1,0
07-30-2009,27,19,6.875,10.875,69.125,37.875,1011.375,0,0
07-31-2009,28,16,7,11.375,65.375,5,1016,0,1
08-01-2009,26,16,10.375,17.625,71.125,28.375,1015,1,0
08-02-2009,30,15,5.875,10.625,62.75,0,1015.75,0,0
